,Symbol
0,AAPL
1,ABBV
2,ABT
3,ACN
4,ADBE
5,AIG
6,AMGN
7,AMT
8,AMZN
9,AVGO
10,AXP
11,BA
12,BAC
13,BIIB
14,BK
15,BKNG
16,BLK
17,BMY
18,BRK.B
19,C
20,CAT
21,CHTR
22,CL
23,CMCSA
24,COF
25,COP
26,COST
27,CRM
28,CSCO
29,CVS
30,CVX
31,DD
32,DHR
33,DIS
34,DOW
35,DUK
36,EMR
37,EXC
38,F
39,FB
40,FDX
41,GD
42,GE
43,GILD
44,GM
45,GOOG
46,GOOGL
47,GS
48,HD
49,HON
50,IBM
51,INTC
52,JNJ
53,JPM
54,KHC
55,KO
56,LIN
57,LLY
58,LMT
59,LOW
60,MA
61,MCD
62,MDLZ
63,MDT
64,MET
65,MMM
66,MO
67,MRK
68,MS
69,MSFT
70,NEE
71,NFLX
72,NKE
73,NVDA
74,ORCL
75,PEP
76,PFE
77,PG
78,PM
79,PYPL
80,QCOM
81,RTX
82,SBUX
83,SO
84,SPG
85,T
86,TGT
87,TMO
88,TMUS
89,TSLA
90,TXN
91,UNH
92,UNP
93,UPS
94,USB
95,V
96,VZ
97,WBA
98,WFC
99,WMT
100,XOM
